Submission Date,Full Name,Email Address,Will you be attending?,Number of Guests Attending (including yourself),Meal Preference,Additional Comments,The reasoning of not joining
"Dec 17, 2025",John Doe,john.doe@example.com,Yes,2,Chicken,,
"Dec 17, 2025",John Doe,john.doe@example.com,No,,,,Ankara
"Dec 17, 2025",Taylor Attends,taylor.attends@example.com,Yes,1,Chicken,Looking forward to it.,
"Dec 17, 2025",Taylor Attends,taylor.attends@example.com,Yes,1,Chicken,Looking forward to it.,
"Dec 17, 2025",Alex Noattend,alex.noattend@example.com,No,,,,Not attending.
"Dec 17, 2025",John Doe,john.doe@example.com,No,,,,Ankara
"Dec 17, 2025",John Doe,john.doe@example.com,No,,,,Ankara
"Dec 17, 2025",John Doe,john.doe@example.com,Yes,2,Chicken,,
"Dec 17, 2025",John Doe,john.doe@example.com,Yes,2,Chicken,,
"Dec 17, 2025",John Doe,john.doe@example.com,No,,,,Ankara
"Dec 17, 2025",John Doe,john.doe@example.com,Yes,2,Chicken,,Ankara
"Dec 17, 2025",John Doe,john.doe@example.com,Yes,2,Chicken,,Ankara
"Dec 17, 2025",John Doe,john.doe@example.com,No,,,,Not available that day
"Dec 17, 2025",John Doe,john.doe@example.com,No,,,,Not available that day
"Dec 17, 2025",John Doe,john.doe@example.com,Yes,2,Chicken,,
"Dec 17, 2025",Alex NoShow,alex.noshow@example.com,No,,,,Not available that day
"Dec 17, 2025",Mina Yılmaz,mina.yilmaz@example.com,No,,,Hope you have a great time!,Out of town that week.
"Dec 17, 2025",Alex Johnson,alex.johnson@example.com,Yes,2,Chicken,Looking forward to it.,
"Dec 16, 2025",John Doe,john.doe@example.com,Yes,2,Chicken,,
"Dec 16, 2025",John Doe,john.doe@example.com,Yes,2,Chicken,,
